id,title,genre
278,The Shawshank Redemption,"drama,crime"
19404,Dilwale Dulhania Le Jayenge,"comedy,drama,romance"
238,The Godfather,"drama,crime"
424,Schindler's List,"drama,history,war"
240,The Godfather: Part II,"drama,crime"
667257,Impossible Things,"family,drama"
129,Spirited Away,"animation,family,fantasy"
730154,Your Eyes Tell,"romance,drama"
372754,Dou kyu sei – Classmates,"romance,animation"
372058,Your Name.,"romance,animation,drama"
389,12 Angry Men,drama
696374,Gabriel's Inferno,romance
496243,Parasite,"comedy,thriller,drama"
497,The Green Mile,"fantasy,drama,crime"
724089,Gabriel's Inferno: Part II,romance
155,The Dark Knight,"drama,action,crime,thriller"
429,"The Good, the Bad and the Ugly",western
680,Pulp Fiction,"thriller,crime"
122,The Lord of the Rings: The Return of the King,"adventure,fantasy,action"
761053,Gabriel's Inferno: Part III,"romance,comedy"
13,Forrest Gump,"comedy,drama,romance"
11216,Cinema Paradiso,"drama,romance"
346,Seven Samurai,"action,drama"
769,GoodFellas,"drama,crime"
533514,Violet Evergarden: The Movie,"animation,fantasy,romance,drama"
637,Life Is Beautiful,"comedy,drama"
311,Once Upon a Time in America,"drama,crime"
14537,Harakiri,"action,drama,history"
539,Psycho,"horror,drama,thriller"
652837,"Josee, the Tiger and the Fish","animation,drama,romance"
40096,A Dog's Will,"comedy,drama,fantasy"
12477,Grave of the Fireflies,"animation,drama,war"
510,One Flew Over the Cuckoo's Nest,drama
550,Fight Club,drama
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,"animation,action,sciencefiction,drama"
324857,Spider-Man: Into the Spider-Verse,"action,adventure,animation,sciencefiction"
598,City of God,"drama,crime"
255709,Hope,drama
378064,A Silent Voice: The Movie,"animation,drama,romance"
92321,Hotarubi no Mori e,"romance,animation,fantasy"
4935,Howl's Moving Castle,"fantasy,animation,adventure"
18491,Neon Genesis Evangelion: The End of Evangelion,"drama,animation,sciencefiction,action"
1891,The Empire Strikes Back,"adventure,action,sciencefiction"
599,Sunset Boulevard,drama
441130,Wolfwalkers,"animation,family,adventure,fantasy"
120,The Lord of the Rings: The Fellowship of the Ring,"adventure,fantasy,action"
3782,Ikiru,drama
704264,Primal: Tales of Savagery,"action,adventure,animation"
423,The Pianist,"drama,war"
157336,Interstellar,"adventure,drama,sciencefiction"
244786,Whiplash,"drama,music"
121,The Lord of the Rings: The Two Towers,"adventure,fantasy,action"
73,American History X,drama
567,Rear Window,"thriller,mystery"
27205,Inception,"action,sciencefiction,adventure"
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"animation,action,adventure,fantasy"
632632,Given,"animation,drama,music,romance"
901,City Lights,"comedy,drama,romance"
12493,High and Low,"crime,drama,mystery,thriller"
914,The Great Dictator,"comedy,war"
807,Se7en,"crime,mystery,thriller"
361743,Top Gun: Maverick,"action,drama"
128,Princess Mononoke,"adventure,fantasy,animation"
644479,Dedicated to my ex,"drama,comedy"
274,The Silence of the Lambs,"crime,drama,thriller"
25237,Come and See,"drama,history,war"
630566,Clouds,"music,drama,romance"
207,Dead Poets Society,drama
3082,Modern Times,"comedy,drama"
527641,Five Feet Apart,"romance,drama"
101,Léon: The Professional,"crime,drama,action"
335,Once Upon a Time in the West,"drama,western"
556574,Hamilton,"history,drama"
975,Paths of Glory,"drama,war"
618344,Justice League Dark: Apokolips War,"animation,action,adventure,fantasy,sciencefiction"
105,Back to the Future,"adventure,comedy,sciencefiction,family"
592350,My Hero Academia: Heroes Rising,"animation,action,fantasy,adventure"
447362,Life in a Year,"drama,romance"
575813,Better Days,drama
16672,Woman in the Dunes,"drama,thriller"
42269,We All Loved Each Other So Much,"drama,comedy"
18148,Tokyo Story,drama
10494,Perfect Blue,"animation,thriller"
10376,The Legend of 1900,"drama,music,romance"
28,Apocalypse Now,"drama,war"
572154,Rascal Does Not Dream of a Dreaming Girl,"animation,comedy,romance,drama,fantasy"
299534,Avengers: Endgame,"adventure,sciencefiction,action"
29259,Le Trou,"crime,drama,thriller,history"
637920,Miracle in Cell No. 7,"drama,comedy"
265177,Mommy,drama
670,Oldboy,"drama,thriller,mystery,action"
537061,Steven Universe: The Movie,"animation,family,fantasy,tvmovie,sciencefiction,adventure,music"
522924,The Art of Racing in the Rain,"comedy,drama,romance"
